"Description" "data" "N_anul_lotow"
"American Airlines Inc." 1987-10-28 31
"American Airlines Inc." 1987-10-01 18
"American Airlines Inc." 1987-10-03 9
"American Airlines Inc." 1987-10-06 8
"American Airlines Inc." 1987-10-24 3
"American Airlines Inc." 1987-10-05 17
"American Airlines Inc." 1987-10-04 9
"American Airlines Inc." 1987-10-16 9
"American Airlines Inc." 1987-10-11 4
"American Airlines Inc." 1987-10-26 3
"American Airlines Inc." 1987-10-21 6
"American Airlines Inc." 1987-10-12 20
"American Airlines Inc." 1987-10-10 2
"American Airlines Inc." 1987-10-20 6
"American Airlines Inc." 1987-10-29 9
"American Airlines Inc." 1987-10-09 2
"American Airlines Inc." 1987-10-31 7
"American Airlines Inc." 1987-10-22 9
"American Airlines Inc." 1987-10-02 2
"American Airlines Inc." 1987-10-19 5
"American Airlines Inc." 1987-10-18 2
"American Airlines Inc." 1987-10-30 2
"American Airlines Inc." 1987-10-27 6
"American Airlines Inc." 1987-10-17 4
"American Airlines Inc." 1987-10-07 3
"American Airlines Inc." 1987-10-08 12
"American Airlines Inc." 1987-10-13 4
"American Airlines Inc." 1987-10-14 4
"American Airlines Inc." 1987-10-23 4
"American Airlines Inc." 1987-11-14 9
"American Airlines Inc." 1987-11-07 11
"American Airlines Inc." 1987-11-15 41
"American Airlines Inc." 1987-11-17 22
"American Airlines Inc." 1987-11-26 9
"American Airlines Inc." 1987-11-11 59
"American Airlines Inc." 1987-11-12 29
"American Airlines Inc." 1987-11-25 5
"American Airlines Inc." 1987-11-16 14
"American Airlines Inc." 1987-11-01 11
"American Airlines Inc." 1987-11-27 8
"American Airlines Inc." 1987-11-19 3
"American Airlines Inc." 1987-11-13 11
"American Airlines Inc." 1987-11-23 5
"American Airlines Inc." 1987-11-28 14
"American Airlines Inc." 1987-11-08 4
"American Airlines Inc." 1987-11-03 3
"American Airlines Inc." 1987-11-30 9
"American Airlines Inc." 1987-11-24 7
"American Airlines Inc." 1987-11-02 3
"American Airlines Inc." 1987-11-29 4
"American Airlines Inc." 1987-11-04 13
"American Airlines Inc." 1987-11-10 2
"American Airlines Inc." 1987-11-06 3
"American Airlines Inc." 1987-11-22 6
"American Airlines Inc." 1987-11-05 29
"American Airlines Inc." 1987-11-20 11
"American Airlines Inc." 1987-11-21 2
"American Airlines Inc." 1987-12-16 33
"American Airlines Inc." 1987-12-04 25
"American Airlines Inc." 1987-12-13 32
"American Airlines Inc." 1987-12-15 390
"American Airlines Inc." 1987-12-12 27
"American Airlines Inc." 1987-12-28 338
"American Airlines Inc." 1987-12-27 29
"American Airlines Inc." 1987-12-14 100
"American Airlines Inc." 1987-12-23 14
"American Airlines Inc." 1987-12-11 72
"American Airlines Inc." 1987-12-03 8
"American Airlines Inc." 1987-12-20 16
"American Airlines Inc." 1987-12-30 12
"American Airlines Inc." 1987-12-29 32
"American Airlines Inc." 1987-12-19 19
"American Airlines Inc." 1987-12-09 16
"American Airlines Inc." 1987-12-18 27
"American Airlines Inc." 1987-12-21 13
"American Airlines Inc." 1987-12-06 22
"American Airlines Inc." 1987-12-31 22
"American Airlines Inc." 1987-12-26 10
"American Airlines Inc." 1987-12-25 30
"American Airlines Inc." 1987-12-22 13
"American Airlines Inc." 1987-12-01 15
"American Airlines Inc." 1987-12-24 5
"American Airlines Inc." 1987-12-08 13
"American Airlines Inc." 1987-12-17 9
"American Airlines Inc." 1987-12-07 1
"American Airlines Inc." 1987-12-05 12
"American Airlines Inc." 1987-12-10 13
"American Airlines Inc." 1987-12-02 21
"Alaska Airlines Inc." 1987-10-19 2
"Alaska Airlines Inc." 1987-10-27 7
"Alaska Airlines Inc." 1987-10-31 4
"Alaska Airlines Inc." 1987-10-21 6
"Alaska Airlines Inc." 1987-10-22 2
"Alaska Airlines Inc." 1987-10-23 8
"Alaska Airlines Inc." 1987-10-24 4
"Alaska Airlines Inc." 1987-10-06 2
"Alaska Airlines Inc." 1987-10-18 2
"Alaska Airlines Inc." 1987-10-08 4
"Alaska Airlines Inc." 1987-10-02 4
"Alaska Airlines Inc." 1987-10-16 5
"Alaska Airlines Inc." 1987-10-28 27
"Alaska Airlines Inc." 1987-10-14 1
"Alaska Airlines Inc." 1987-10-04 2
"Alaska Airlines Inc." 1987-10-20 2
"Alaska Airlines Inc." 1987-10-26 8
"Alaska Airlines Inc." 1987-10-13 1
"Alaska Airlines Inc." 1987-10-29 2
"Alaska Airlines Inc." 1987-10-07 2
"Alaska Airlines Inc." 1987-10-01 10
"Alaska Airlines Inc." 1987-11-15 4
"Alaska Airlines Inc." 1987-11-21 2
"Alaska Airlines Inc." 1987-11-29 1
"Alaska Airlines Inc." 1987-11-18 2
"Alaska Airlines Inc." 1987-11-07 1
"Alaska Airlines Inc." 1987-11-13 1
"Alaska Airlines Inc." 1987-11-14 1
"Alaska Airlines Inc." 1987-11-26 8
"Alaska Airlines Inc." 1987-11-17 5
"Alaska Airlines Inc." 1987-11-25 2
"Alaska Airlines Inc." 1987-11-04 2
"Alaska Airlines Inc." 1987-11-05 8
"Alaska Airlines Inc." 1987-11-02 3
"Alaska Airlines Inc." 1987-11-23 5
"Alaska Airlines Inc." 1987-11-19 2
"Alaska Airlines Inc." 1987-12-15 2
"Alaska Airlines Inc." 1987-12-28 2
"Alaska Airlines Inc." 1987-12-23 4
"Alaska Airlines Inc." 1987-12-18 2
"Alaska Airlines Inc." 1987-12-14 4
"Alaska Airlines Inc." 1987-12-27 2
"Alaska Airlines Inc." 1987-12-05 3
"Alaska Airlines Inc." 1987-12-24 2
"Alaska Airlines Inc." 1987-12-17 1
"Alaska Airlines Inc." 1987-12-11 10
"Alaska Airlines Inc." 1987-12-12 8
"Alaska Airlines Inc." 1987-12-16 2
"Alaska Airlines Inc." 1987-12-10 4
"Alaska Airlines Inc." 1987-12-13 2
"Alaska Airlines Inc." 1987-12-01 3
"Alaska Airlines Inc." 1987-12-02 3
"Alaska Airlines Inc." 1987-12-04 5
