"Description" "Liczba_anul"
"American Airlines Inc." 280233
"Alaska Airlines Inc." 55786
"Continental Air Lines Inc." 110446
"Delta Air Lines Inc." 254620
"Eastern Air Lines Inc." 28702
"America West Airlines Inc." 55431
"Northwest Airlines Inc." 212655
"Pan American World Airways (1)" 3521
"Piedmont Aviation Inc." 8910
"Pacific Southwest Airlines" 1151
"Trans World Airways LLC" 69088
"United Air Lines Inc." 284581
"US Airways Inc." 287458
"Southwest Airlines Co." 147044
"Midway Airlines Inc. (1)" 1342
"Aloha Airlines Inc." 2837
"American Eagle Airlines Inc." 148107
"JetBlue Airways" 6978
"Independence Air" 22176
"Atlantic Southeast Airlines" 45996
"AirTran Airways Corporation" 11521
"Hawaiian Airlines Inc." 871
"Skywest Airlines Inc." 59727
"ATA Airlines d/b/a ATA" 2307
"Expressjet Airlines Inc." 45924
"Comair Inc." 43330
"Frontier Airlines Inc." 1573
"Mesa Airlines Inc." 25981
"Pinnacle Airlines Inc." 12036
