"UniqueCarrier","N_anul_lotow","Description"
"AA",9752,"American Airlines Inc."
"AS",2630,"Alaska Airlines Inc."
"B6",888,"JetBlue Airways"
"CO",2739,"Continental Air Lines Inc."
"DH",2877,"Independence Air"
"DL",17731,"Delta Air Lines Inc."
"EV",13900,"Atlantic Southeast Airlines"
"F9",175,"Frontier Airlines Inc."
"FL",2448,"AirTran Airways Corporation"
"HA",69,"Hawaiian Airlines Inc."
"HP",2487,"America West Airlines Inc."
"MQ",16746,"American Eagle Airlines Inc."
"NW",6937,"Northwest Airlines Inc."
"OH",11370,"Comair Inc."
"OO",9639,"Skywest Airlines Inc."
"TZ",508,"ATA Airlines d/b/a ATA"
"UA",6296,"United Air Lines Inc."
"US",8426,"US Airways Inc."
"WN",8759,"Southwest Airlines Co."
"XE",9353,"Expressjet Airlines Inc."
