"Description" "polaczenie" "Distance" "ilosc_lotow"
"American Airlines Inc." "New York(NY) - Los Angeles(CA)" 2475 64488
"American Airlines Inc." "Los Angeles(CA) - Honolulu(HI)" 2556 18890
"American Airlines Inc." "Honolulu(HI) - Los Angeles(CA)" 2556 18907
"American Airlines Inc." "Los Angeles(CA) - New York(NY)" 2475 64410
"American Airlines Inc." "Kahului(HI) - Honolulu(HI)" 100 7777
"American Airlines Inc." "Dallas-Fort Worth(TX) - Honolulu(HI)" 3784 14505
"American Airlines Inc." "Honolulu(HI) - Kahului(HI)" 100 7881
"American Airlines Inc." "Houston(TX) - Dallas-Fort Worth(TX)" 224 72602
"American Airlines Inc." "Dallas-Fort Worth(TX) - St Louis(MO)" 551 56432
"American Airlines Inc." "Honolulu(HI) - Dallas-Fort Worth(TX)" 3784 14683
"American Airlines Inc." "St Louis(MO) - Dallas-Fort Worth(TX)" 551 57193
"American Airlines Inc." "Dallas-Fort Worth(TX) - Houston(TX)" 224 71738
"American Airlines Inc." "Boston(MA) - Los Angeles(CA)" 2611 24690
"American Airlines Inc." "Los Angeles(CA) - Boston(MA)" 2611 24744
"American Airlines Inc." "San Francisco(CA) - New York(NY)" 2586 33612
"American Airlines Inc." "New York(NY) - San Francisco(CA)" 2586 33534
"American Airlines Inc." "Honolulu(HI) - San Francisco(CA)" 2398 8098
"American Airlines Inc." "San Francisco(CA) - Honolulu(HI)" 2398 8141
"American Airlines Inc." "Dallas-Fort Worth(TX) - Austin(TX)" 190 85307
"American Airlines Inc." "Los Angeles(CA) - Dallas-Fort Worth(TX)" 1235 101483
"American Airlines Inc." "Dallas-Fort Worth(TX) - Phoenix(AZ)" 868 65206
"American Airlines Inc." "New York(NY) - Dallas-Fort Worth(TX)" 1389 91730
"American Airlines Inc." "Dallas-Fort Worth(TX) - Los Angeles(CA)" 1235 100826
"American Airlines Inc." "Dallas-Fort Worth(TX) - Boston(MA)" 1562 58056
"American Airlines Inc." "El Paso(TX) - Dallas-Fort Worth(TX)" 551 55010
"American Airlines Inc." "Las Vegas(NV) - Los Angeles(CA)" 236 11852
"American Airlines Inc." "Chantilly(VA) - Dallas-Fort Worth(TX)" 1172 45214
"American Airlines Inc." "San Antonio(TX) - Dallas-Fort Worth(TX)" 247 86227
"American Airlines Inc." "Los Angeles(CA) - Chantilly(VA)" 2288 23140
"American Airlines Inc." "Chicago(IL) - San Diego(CA)" 1723 38380
"American Airlines Inc." "San Diego(CA) - Chicago(IL)" 1723 40578
"American Airlines Inc." "Oklahoma City(OK) - Dallas-Fort Worth(TX)" 175 44015
"American Airlines Inc." "Chicago(IL) - San Francisco(CA)" 1846 46603
"American Airlines Inc." "San Francisco(CA) - Chicago(IL)" 1846 47350
"American Airlines Inc." "Newark(NJ) - Los Angeles(CA)" 2454 18374
"American Airlines Inc." "Los Angeles(CA) - Newark(NJ)" 2454 18408
"American Airlines Inc." "Denver(CO) - Dallas-Fort Worth(TX)" 641 73748
"American Airlines Inc." "Dallas-Fort Worth(TX) - Denver(CO)" 641 73613
"American Airlines Inc." "Chicago(IL) - Albany(NY)" 723 19043
"American Airlines Inc." "Arlington(VA) - Chicago(IL)" 612 61668
"American Airlines Inc." "Chicago(IL) - Seattle(WA)" 1721 38075
"American Airlines Inc." "Harrisburg(PA) - Chicago(IL)" 594 16424
"American Airlines Inc." "Dallas-Fort Worth(TX) - Louisville(KY)" 733 16554
"American Airlines Inc." "Chicago(IL) - Boston(MA)" 867 74877
"American Airlines Inc." "Philadelphia(PA) - Dallas-Fort Worth(TX)" 1302 48503
"American Airlines Inc." "Atlanta(GA) - Columbia(SC)" 191 320
"American Airlines Inc." "Dallas-Fort Worth(TX) - Atlanta(GA)" 732 72556
"American Airlines Inc." "Sacramento(CA) - Dallas-Fort Worth(TX)" 1431 32987
"American Airlines Inc." "Buffalo(NY) - Chicago(IL)" 473 26641
"American Airlines Inc." "Chicago(IL) - Los Angeles(CA)" 1745 83470
"American Airlines Inc." "Chicago(IL) - Cleveland(OH)" 316 14255
"American Airlines Inc." "Phoenix(AZ) - Chicago(IL)" 1440 42020
"American Airlines Inc." "Dallas-Fort Worth(TX) - San Antonio(TX)" 247 85137
"American Airlines Inc." "Kansas City(MO) - Dallas-Fort Worth(TX)" 460 68520
"American Airlines Inc." "Miami(FL) - Raleigh(NC)" 700 20944
"American Airlines Inc." "Raleigh(NC) - New York(NY)" 426 4570
"American Airlines Inc." "New York(NY) - Raleigh(NC)" 426 4610
"American Airlines Inc." "Raleigh(NC) - Miami(FL)" 700 20819
"American Airlines Inc." "San Francisco(CA) - Dallas-Fort Worth(TX)" 1464 63458
"American Airlines Inc." "Dallas-Fort Worth(TX) - San Francisco(CA)" 1464 62885
"American Airlines Inc." "Honolulu(HI) - Chicago(IL)" 4243 7962
"American Airlines Inc." "Chicago(IL) - Detroit(MI)" 235 43100
"American Airlines Inc." "Detroit(MI) - Chicago(IL)" 235 42849
"American Airlines Inc." "Chicago(IL) - Honolulu(HI)" 4243 7856
"American Airlines Inc." "Chantilly(VA) - Los Angeles(CA)" 2288 23156
"American Airlines Inc." "Los Angeles(CA) - San Diego(CA)" 109 3837
"American Airlines Inc." "San Diego(CA) - Los Angeles(CA)" 109 3905
"American Airlines Inc." "Dallas-Fort Worth(TX) - Indianapolis(IN)" 762 31785
"American Airlines Inc." "Indianapolis(IN) - Covington(KY)" 98 386
"American Airlines Inc." "Dallas-Fort Worth(TX) - Albuquerque(NM)" 569 46670
"American Airlines Inc." "New York(NY) - Dallas-Fort Worth(TX)" 1391 11301
"American Airlines Inc." "Dallas-Fort Worth(TX) - New York(NY)" 1389 90761
"American Airlines Inc." "Los Angeles(CA) - Chicago(IL)" 1745 84686
"American Airlines Inc." "New York(NY) - Phoenix(AZ)" 2153 603
"American Airlines Inc." "Dallas-Fort Worth(TX) - Chicago(IL)" 802 127119
"American Airlines Inc." "Chicago(IL) - Dallas-Fort Worth(TX)" 802 131941
"American Airlines Inc." "Boston(MA) - Dallas-Fort Worth(TX)" 1562 60193
"American Airlines Inc." "Dallas-Fort Worth(TX) - Minneapolis(MN)" 852 42670
"American Airlines Inc." "Dallas-Fort Worth(TX) - El Paso(TX)" 551 54434
"American Airlines Inc." "Columbus(OH) - Dayton(OH)" 72 17
"American Airlines Inc." "Chicago(IL) - Columbus(OH)" 296 11773
"American Airlines Inc." "Chicago(IL) - Rochester(NY)" 528 25468
"American Airlines Inc." "San Jose(CA) - Chicago(IL)" 1829 32926
"American Airlines Inc." "Grand Rapids(MI) - Chicago(IL)" 137 13607
"American Airlines Inc." "Chicago(IL) - Windsor Locks(CT)" 783 35314
"American Airlines Inc." "Cleveland(OH) - Chicago(IL)" 316 14658
"American Airlines Inc." "Chicago(IL) - Phoenix(AZ)" 1440 41270
"American Airlines Inc." "Omaha(NE) - Chicago(IL)" 416 9679
"American Airlines Inc." "Chicago(IL) - Covington(KY)" 264 9047
"American Airlines Inc." "Baltimore(MD) - Dallas-Fort Worth(TX)" 1217 40053
"American Airlines Inc." "Dallas-Fort Worth(TX) - Reno(NV)" 1345 20599
"American Airlines Inc." "Reno(NV) - Sacramento(CA)" 113 614
"American Airlines Inc." "Portland(OR) - Dallas-Fort Worth(TX)" 1616 31093
"American Airlines Inc." "Seattle(WA) - Portland(OR)" 129 2467
"American Airlines Inc." "Dayton(OH) - Chicago(IL)" 240 9443
"American Airlines Inc." "Chicago(IL) - St Louis(MO)" 258 46788
"American Airlines Inc." "Arlington(VA) - Dallas-Fort Worth(TX)" 1192 69110
"American Airlines Inc." "Dallas-Fort Worth(TX) - Santa Ana(CA)" 1205 56999
"American Airlines Inc." "Minneapolis(MN) - Chicago(IL)" 334 60635
"American Airlines Inc." "Nashville(TN) - Dallas-Fort Worth(TX)" 631 55814
"American Airlines Inc." "Milwaukee(WI) - Nashville(TN)" 475 6928
"American Airlines Inc." "Dallas-Fort Worth(TX) - Newark(NJ)" 1372 56367
"American Airlines Inc." "New York(NY) - Chicago(IL)" 733 120307
"American Airlines Inc." "Phoenix(AZ) - New York(NY)" 2153 590
"American Airlines Inc." "Baltimore(MD) - Chicago(IL)" 622 21302
"American Airlines Inc." "Chicago(IL) - Kansas City(MO)" 403 38175
"American Airlines Inc." "Tucson(AZ) - Dallas-Fort Worth(TX)" 813 47205
"American Airlines Inc." "Syracuse(NY) - Chicago(IL)" 607 20595
"American Airlines Inc." "San Diego(CA) - Dallas-Fort Worth(TX)" 1171 61095
"American Airlines Inc." "Dallas-Fort Worth(TX) - Las Vegas(NV)" 1055 56225
"American Airlines Inc." "Dallas-Fort Worth(TX) - Philadelphia(PA)" 1302 47983
"American Airlines Inc." "Philadelphia(PA) - Providence(RI)" 238 272
"American Airlines Inc." "San Diego(CA) - New York(NY)" 2446 10714
"American Airlines Inc." "Chicago(IL) - Salt Lake City(UT)" 1249 18107
"American Airlines Inc." "Wichita(KS) - Chicago(IL)" 588 960
"American Airlines Inc." "Chicago(IL) - Philadelphia(PA)" 678 54300
"American Airlines Inc." "Covington(KY) - Dallas-Fort Worth(TX)" 812 12451
"American Airlines Inc." "Nashville(TN) - Boston(MA)" 943 8837
"American Airlines Inc." "Baton Rouge(LA) - Nashville(TN)" 464 5957
"American Airlines Inc." "Dallas-Fort Worth(TX) - Lubbock(TX)" 282 9289
"American Airlines Inc." "West Palm Beach(FL) - Dallas-Fort Worth(TX)" 1103 16766
"American Airlines Inc." "Dallas-Fort Worth(TX) - Nashville(TN)" 631 55979
"American Airlines Inc." "Ontario(CA) - Sacramento(CA)" 389 4261
"American Airlines Inc." "Chicago(IL) - Austin(TX)" 978 33086
"American Airlines Inc." "Columbia(SC) - Charlotte(NC)" 88 1254
"American Airlines Inc." "Charlotte(NC) - Dallas-Fort Worth(TX)" 936 36277
"American Airlines Inc." "Dallas-Fort Worth(TX) - Tulsa(OK)" 237 44700
"American Airlines Inc." "Dallas-Fort Worth(TX) - Colorado Springs(CO)" 592 36692
"American Airlines Inc." "Nashville(TN) - Baltimore(MD)" 588 7546
"American Airlines Inc." "Chattanooga(TN) - Nashville(TN)" 112 3506
"American Airlines Inc." "Nashville(TN) - Birmingham(AL)" 177 7205
"American Airlines Inc." "Chicago(IL) - Nashville(TN)" 409 32468
"American Airlines Inc." "Eugene(OR) - Portland(OR)" 106 4335
"American Airlines Inc." "Portland(OR) - Chicago(IL)" 1739 18773
"American Airlines Inc." "Nashville(TN) - Mobile(AL)" 385 6264
"American Airlines Inc." "Arlington(VA) - Nashville(TN)" 562 9686
